dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,rain,date,hour
2022-02-24 00:00:00,13.63,12.46,1015,54,4.51,0.0,0,10000,1.54,320,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-02-24,0
2022-02-24 01:00:00,13.13,11.99,1014,57,4.81,0.0,0,10000,2.06,100,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-02-24,1
2022-02-24 02:00:00,12.45,11.29,1014,59,4.67,0.0,0,10000,2.06,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-02-24,2
2022-02-24 03:00:00,12.09,11.03,1014,64,5.49,0.0,0,10000,3.09,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-02-24,3
2022-02-24 04:00:00,11.9,10.74,1014,61,4.63,0.0,0,10000,3.6,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-02-24,4
2022-02-24 05:00:00,11.72,10.57,1014,62,4.69,0.0,0,10000,3.09,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-02-24,5
2022-02-24 06:00:00,11.54,10.5,1014,67,5.63,0.0,0,10000,3.09,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-02-24,6
2022-02-24 07:00:00,11.51,10.34,1014,62,4.49,0.0,0,10000,3.09,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-02-24,7
2022-02-24 08:00:00,11.48,10.28,1015,61,4.23,0.15,0,10000,3.6,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-02-24,8
2022-02-24 09:00:00,11.83,10.69,1016,62,4.79,0.54,0,10000,4.12,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-02-24,9
2022-02-24 10:00:00,12.94,11.83,1016,59,5.13,1.31,0,10000,5.66,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-02-24,10
2022-02-24 11:00:00,14.41,13.34,1013,55,5.49,2.08,0,10000,4.12,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-02-24,11
2022-02-24 12:00:00,14.56,13.61,1015,59,6.65,2.62,0,10000,5.14,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-02-24,12
2022-02-24 13:00:00,15.28,14.43,1015,60,7.57,2.12,40,10000,4.12,20,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-02-24,13
2022-02-24 14:00:00,15.62,14.88,1014,63,8.61,1.79,40,10000,3.09,90,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'1h': 0.36},2022-02-24,14
2022-02-24 15:00:00,15.99,15.24,1019,61,8.48,1.2,20,10000,3.09,60,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'1h': 0.32},2022-02-24,15
2022-02-24 16:00:00,16.25,15.58,1018,63,9.2,0.5,20,10000,3.6,20,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'1h': 0.24},2022-02-24,16
2022-02-24 17:00:00,15.78,15.14,1014,66,9.45,0.16,20,10000,2.57,20,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-02-24,17
2022-02-24 18:00:00,15.45,14.8,1015,67,9.36,0.0,20,10000,3.6,20,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-02-24,18
2022-02-24 19:00:00,14.85,14.17,1014,68,9.01,0.0,0,10000,2.06,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-02-24,19
2022-02-24 20:00:00,14.24,13.63,1015,73,9.47,0.0,0,10000,2.57,320,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-02-24,20
2022-02-24 21:00:00,13.5,12.89,1016,76,9.36,0.0,0,10000,3.09,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-02-24,21
2022-02-24 22:00:00,13.2,12.56,1015,76,9.07,0.0,0,10000,2.57,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-02-24,22
2022-02-24 23:00:00,13.61,12.96,1014,74,9.07,0.0,0,10000,3.6,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-02-24,23
2022-02-25 00:00:00,13.44,12.77,1015,74,8.9,0.0,0,10000,3.6,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-02-25,0
2022-02-25 01:00:00,13.47,12.8,1013,74,8.93,0.0,75,10000,3.6,10,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-02-25,1
2022-02-25 02:00:00,13.52,12.86,1014,74,8.98,0.0,75,10000,2.06,40,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-02-25,2
2022-02-25 03:00:00,12.91,12.16,1014,73,8.19,0.0,0,10000,1.54,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-02-25,3
